step,junction_id,active_vehicles,avg_speed_kmh,avg_waiting_time_s,max_waiting_time_s,queue_length_m,halting_vehicles,previous_queue_m,queue_delta,signal_phase,time_of_day_s,future_queue_5min_m,will_congest_5min,run_id
6.0,J2,4,44.97,0.0,0.0,0.0,0,0.0,0.0,0,6.0,30.0,0,0
6.0,J3,4,44.97,0.0,0.0,0.0,0,0.0,0.0,0,6.0,7.5,0,0
6.0,J1,4,44.97,0.0,0.0,0.0,0,0.0,0.0,0,6.0,45.0,1,0
7.0,J2,4,43.39,0.0,0.0,0.0,0,0.0,0.0,0,7.0,30.0,0,0
7.0,J3,4,43.39,0.0,0.0,0.0,0,0.0,0.0,0,7.0,7.5,0,0
7.0,J1,4,43.39,0.0,0.0,0.0,0,0.0,0.0,0,7.0,45.0,1,0
8.0,J2,5,45.07,0.0,0.0,0.0,0,0.0,0.0,0,8.0,30.0,0,0
8.0,J3,5,45.07,0.0,0.0,0.0,0,0.0,0.0,0,8.0,7.5,0,0
8.0,J1,5,45.07,0.0,0.0,0.0,0,0.0,0.0,0,8.0,45.0,1,0
9.0,J2,5,44.31,0.0,0.0,0.0,0,0.0,0.0,0,9.0,30.0,0,0
9.0,J3,5,44.31,0.0,0.0,0.0,0,0.0,0.0,0,9.0,7.5,0,0
9.0,J1,5,44.31,0.0,0.0,0.0,0,0.0,0.0,0,9.0,45.0,1,0
10.0,J2,5,43.14,0.0,0.0,0.0,0,0.0,0.0,0,10.0,30.0,0,0
10.0,J3,5,43.14,0.0,0.0,0.0,0,0.0,0.0,0,10.0,7.5,0,0
10.0,J1,5,43.14,0.0,0.0,0.0,0,0.0,0.0,0,10.0,45.0,1,0
11.0,J2,7,45.35,0.0,0.0,0.0,0,0.0,0.0,0,11.0,30.0,0,0
11.0,J3,7,45.35,0.0,0.0,0.0,0,0.0,0.0,0,11.0,7.5,0,0
11.0,J1,7,45.35,0.0,0.0,0.0,0,0.0,0.0,0,11.0,45.0,1,0
12.0,J2,8,46.77,0.0,0.0,0.0,0,0.0,0.0,0,12.0,30.0,0,0
12.0,J3,8,46.77,0.0,0.0,0.0,0,0.0,0.0,0,12.0,7.5,0,0
12.0,J1,8,46.77,0.0,0.0,0.0,0,0.0,0.0,0,12.0,45.0,1,0
13.0,J2,8,45.01,0.0,0.0,0.0,0,0.0,0.0,0,13.0,30.0,0,0
13.0,J3,8,45.01,0.0,0.0,0.0,0,0.0,0.0,0,13.0,7.5,0,0
13.0,J1,8,45.01,0.0,0.0,0.0,0,0.0,0.0,0,13.0,45.0,1,0
14.0,J2,9,45.04,0.0,0.0,0.0,0,0.0,0.0,0,14.0,30.0,0,0
14.0,J3,9,45.04,0.0,0.0,0.0,0,0.0,0.0,0,14.0,7.5,0,0
14.0,J1,9,45.04,0.0,0.0,0.0,0,0.0,0.0,0,14.0,45.0,1,0
15.0,J2,9,44.82,0.0,0.0,0.0,0,0.0,0.0,0,15.0,37.5,1,0
15.0,J3,9,44.82,0.0,0.0,0.0,0,0.0,0.0,0,15.0,7.5,0,0
15.0,J1,9,44.82,0.0,0.0,0.0,0,0.0,0.0,0,15.0,45.0,1,0
16.0,J2,9,45.05,0.0,0.0,0.0,0,0.0,0.0,0,16.0,15.0,0,0
16.0,J3,9,45.05,0.0,0.0,0.0,0,0.0,0.0,0,16.0,7.5,0,0
16.0,J1,9,45.05,0.0,0.0,0.0,0,0.0,0.0,0,16.0,30.0,0,0
17.0,J2,10,44.77,0.0,0.0,0.0,0,0.0,0.0,0,17.0,0.0,0,0
17.0,J3,10,44.77,0.0,0.0,0.0,0,0.0,0.0,0,17.0,7.5,0,0
17.0,J1,10,44.77,0.0,0.0,0.0,0,0.0,0.0,0,17.0,30.0,0,0
18.0,J2,11,43.54,0.0,0.0,0.0,0,0.0,0.0,0,18.0,15.0,0,0
18.0,J3,11,43.54,0.0,0.0,0.0,0,0.0,0.0,0,18.0,7.5,0,0
18.0,J1,11,43.54,0.0,0.0,0.0,0,0.0,0.0,0,18.0,37.5,1,0
19.0,J2,11,43.13,0.0,0.0,0.0,0,0.0,0.0,0,19.0,22.5,0,0
19.0,J3,11,43.13,0.0,0.0,0.0,0,0.0,0.0,0,19.0,7.5,0,0
19.0,J1,11,43.13,0.0,0.0,0.0,0,0.0,0.0,0,19.0,37.5,1,0
20.0,J2,12,44.1,0.0,0.0,0.0,0,0.0,0.0,0,20.0,30.0,0,0
20.0,J3,12,44.1,0.0,0.0,0.0,0,0.0,0.0,0,20.0,7.5,0,0
20.0,J1,12,44.1,0.0,0.0,0.0,0,0.0,0.0,0,20.0,37.5,1,0
21.0,J2,12,43.92,0.0,0.0,0.0,0,0.0,0.0,0,21.0,30.0,0,0
21.0,J3,12,43.92,0.0,0.0,0.0,0,0.0,0.0,0,21.0,15.0,0,0
